person,place,date
Andries van der Meulen,Antwerp,1584-07-01
Andries van der Meulen,Bremen,1585-09-01
Anna van der Meulen,Cologne,1584-07-01
Anna van der Meulen,Bremen,1588-06-01
Anna van der Meulen,Stade,1588-08-01
Anna van der Meulen,Bremen,1592-03-01
Sara van der Meulen,Antwerp,1584-07-01
Sara van der Meulen,Bremen,1585-09-01
Sara van der Meulen,Frankfurt,1586-03-01
Sara van der Meulen,Cologne,1586-05-01
Sara van der Meulen,Frankfurt,1589-06-01
Sara van der Meulen,Bremen,1592-03-01
Sara van der Meulen,Utrecht,1598-06-01
Jan della Faille,Antwerp,1584-07-01
Jan della Faille,Leiden,1584-11-01
Jan della Faille,Geertruidenberg,1585-11-01
Jan della Faille,Leiden,1586-04-01
Jan della Faille,Antwerp,1586-05-01
Jan della Faille,Leiden,1586-08-01
Jan della Faille,Antwerp,1596-07-01
Jan della Faille,Leiden,1596-09-01
Marten della Faille,Antwerp,1584-07-01
Marten della Faille,Bergen op Zoom,1587-08-01
Marten della Faille,The Hague,1588-02-01
Marten della Faille,Antwerp,1588-07-01
Carlo della Faille,Dordrecht,1584-07-01
Carlo della Faille,Zevenbergen,1592-01-01
Carlo della Faille,Antwerp,1595-11-01
Carlo della Faille,Brussels,1596-01-01
Anna della Faille,Haarlem,1584-07-01
Anna della Faille,Antwerp,1585-09-01
Steven della Faille,Dordrecht,1584-07-01
Steven della Faille,Antwerp,1585-09-01
Steven della Faille,Brussels,1586-01-01
Steven della Faille,Haarlem,1593-09-01
Steven della Faille,Amsterdam,1596-01-01
Steven della Faille,Utrecht,1600-01-01
Jacques della Faille,Haarlem,1584-07-01
Jacques della Faille,Hamburg,1585-10-01
Jacques della Faille,Emden,1585-11-01
Jacques della Faille,Haarlem,1585-12-01
Jacques della Faille,The Hague,1586-07-01
Jacques della Faille,London,1586-08-01
Jacques della Faille,Haarlem,1587-05-01
Hester della Faille,Haarlem,1584-07-01
Daniel van der Meulen,Antwerp,1584-07-01
Daniel van der Meulen,Middelburg,1584-08-01
Daniel van der Meulen,Delft,1584-09-01
Daniel van der Meulen,Haarlem,1584-12-01
Daniel van der Meulen,Delft,1585-02-01
Daniel van der Meulen,Bremen,1585-10-01
Hester della Faille,Bremen,1585-10-01
Hester della Faille,Leiden,1591-10-01
Daniel van der Meulen,Middelburg,1586-05-01
Daniel van der Meulen,Delft,1586-06-01
Daniel van der Meulen,London,1586-08-01
Daniel van der Meulen,Bremen,1586-11-01
Daniel van der Meulen,Frankfurt,1590-04-01
Daniel van der Meulen,Vlissingen,1590-12-01
Daniel van der Meulen,Antwerp,1591-02-01
Daniel van der Meulen,Bremen,1591-03-01
Daniel van der Meulen,Leiden,1591-10-01
Daniel van der Meulen,Bremen,1593-09-01
Daniel van der Meulen,Leiden,1593-10-01
Daniel van der Meulen,Antwerp,1594-08-01
Daniel van der Meulen,Leiden,1594-10-01
Daniel van der Meulen,Bremen,1594-12-01
Daniel van der Meulen,Leiden,1595-02-01
Daniel van der Meulen,Antwerp,1598-01-01
Daniel van der Meulen,Leiden,1598-02-01
Daniel van der Meulen,Cologne,1599-06-01
Daniel van der Meulen,Leiden,1599-07-01
Daniel van der Meulen,Middelburg,1599-12-01
Daniel van der Meulen,Leiden,1600-01-01
